Indid	Sex	Ybirth	Fatid	Motid
7319	f	1964	7312	7313
7320	m	1926	8224	8225
7321	f	1927	10017	10018
7322	m	1951	7320	7321
7323	f	1969	7312	7313
7324	m	1881	.	.
7325	f	1881	11854	11855
7326	m	1914	7324	7325
7327	f	1914	.	.
7328	m	1941	7326	7327
7329	f	1937	.	.
7330	m	1936	4400	4399
7331	f	1935	11077	11078
7332	m	1937	.	.
7333	f	1940	2978	2977
7334	m	1940	7242	7243
7335	f	1942	.	.
7336	m	1941	7242	7243
7337	f	1948	.	.
7338	m	1912	2168	2169
7339	f	1920	4879	4880
7340	m	1943	2242	2241
7341	f	1944	2923	2924
7342	m	1952	2242	2241
7343	f	1952	6620	6621
7344	m	1947	3464	3465
7345	f	1951	2923	2924
7346	m	1924	9882	9883
7347	f	1928	2661	2662
7348	m	1949	7346	7347
7349	f	1948	.	.
7350	m	1945	.	.
7351	f	1953	7346	7347
7352	m	1954	.	.
7353	f	1955	7346	7347
7354	m	1936	2661	2662
7355	f	1938	4138	4139
7356	m	1911	7684	7685
7357	f	1917	5115	5116
7358	m	1904	.	.
7359	f	1918	5115	5116
7360	m	1941	5117	5118
7361	f	1940	.	.
7362	m	1942	5117	5118
7363	f	1943	.	.
7364	m	1946	5117	5118
7366	m	1957	.	.
7367	f	1961	5117	5118
7368	m	1927	5115	5116
7369	f	1927	.	.
7370	m	1929	5115	5116
7371	f	1933	.	.
7372	m	1931	5115	5116
7373	f	1932	.	.
7374	m	1928	8300	8301
7375	f	1933	5115	5116
7376	m	1936	5115	5116
7377	f	1938	5861	5862
7378	m	1893	10011	10012
7379	f	1896	918	919
7380	m	1941	4425	4426
7381	f	1940	7378	7379
7382	m	1926	4028	4029
7383	f	1939	.	.
7384	m	1924	2873	2874
7385	f	1928	3227	3228
7386	m	1929	5456	5457
7387	f	1930	3227	3228
7388	m	1931	3227	3228
7389	f	1939	.	.
7390	m	1939	3227	3228
7391	f	1941	4014	4015
7392	m	1921	7002	7003
7393	f	1923	.	.
7394	m	1945	.	.
7395	f	1946	7392	7393
7396	m	1922	7002	7003
7397	f	1928	.	.
7398	m	1951	7396	7397
7399	f	1954	.	.
7400	f	1956	.	.
7401	m	1924	7002	7003
7402	f	1931	.	.
7403	m	1928	7002	7003
7404	f	1933	.	.
7405	m	1932	7002	7003
7406	f	1932	.	.
7407	m	1914	1835	1836
7408	f	1921	3279	3280
7409	m	1935	4110	4111
7410	f	1941	7407	7408
7411	m	1944	7407	7408
7412	f	1947	.	.
7413	m	1947	3793	3794
7414	f	1949	.	.
7415	m	1925	3279	3280
7416	f	1933	2344	2345
7417	m	1954	7415	7416
7418	f	1955	3257	3258
7419	m	1953	2298	2297
7420	f	1955	7415	7416
7421	m	1953	8990	8991
7422	f	1956	7415	7416
7423	m	1959	7415	7416
7424	f	1967	4881	4882
7425	m	1930	9389	9390
7426	f	1932	2333	2334
7427	m	1962	7415	7416
7428	f	1963	7425	7426
7429	m	1951	6110	6111
7430	f	1951	12395	12396
7431	m	1927	.	.
7432	f	1930	.	.
7433	m	1957	6110	6111
7434	f	1957	7431	7432
7435	m	1953	8321	8322
7436	f	1953	6746	6747
7437	m	1933	3279	3280
7438	f	1935	.	.
7439	m	1956	5239	5240
7440	f	1955	8337	8338
7441	m	1959	7304	7305
7442	f	1958	5239	5240
7443	m	1940	6578	6579
7444	f	1946	.	.
7445	m	1944	7244	7245
7446	f	1945	.	.
7447	m	1909	.	.
7448	f	1913	4061	4062
7449	m	1934	.	.
7450	f	1938	7447	7448
7451	m	1948	6241	6242
7452	f	1949	.	.
7453	m	1950	6241	6242
7454	f	1951	.	.
7455	m	1954	6241	6242
7456	f	1955	.	.
7457	m	1879	1274	1273
7458	f	1881	1497	1496
7459	m	1890	1264	1263
7460	f	1894	.	.
7461	m	1924	7459	7460
7462	f	1926	3009	3010
7463	m	1921	2168	2169
7464	f	1920	.	.
7465	m	1943	5861	5862
7466	f	1947	2923	2924
7467	m	1930	5295	5296
7468	f	1929	3073	3074
7469	m	1894	2471	2472
7470	f	1901	2454	2455
7471	m	1930	7469	7470
7472	f	1935	3073	3074
7473	m	1889	935	934
7474	f	1891	781	782
7475	m	1937	7473	7474
7476	f	1937	4142	4143
7477	m	1942	4142	4143
7478	f	1944	5219	5220
7479	m	1843	.	.
7480	f	1848	.	.
7481	m	1874	1583	1582
7482	f	1878	7479	7480
7483	m	1901	1226	1225
7484	f	1905	7481	7482
7485	m	1872	1528	1529
7486	f	1876	1583	1582
7487	m	1887	1776	1778
7488	f	1896	7485	7486
7489	m	1899	1226	1225
7490	f	1902	7485	7486
7491	m	1881	7479	7480
7492	f	1881	1583	1582
7493	m	1908	.	.
7494	f	1910	7491	7492
7495	m	1902	791	792
7496	f	1908	.	.
7497	m	1932	7495	7496
7498	f	1934	7493	7494
7499	m	1864	8860	8861
7500	f	1867	10647	10648
7501	m	1909	7499	7500
7502	f	1912	7491	7492
7503	m	1903	2121	2122
7504	f	1911	.	.
7505	m	1936	7501	7502
7506	f	1938	7503	7504
7507	m	1915	3990	3991
7508	f	1920	2563	2564
7509	m	1948	9120	9121
7510	f	1949	6314	6315
7511	m	1969	3169	3170
7512	f	1974	7509	7510
7513	m	1950	6314	6315
7514	f	1953	.	.
7515	m	1902	4403	4404
7516	f	1901	1163	1162
7517	m	1936	6328	6329
7518	f	1937	7515	7516
7519	m	1944	6328	6329
7520	f	1947	3386	3387
7521	m	1971	3283	3284
7522	f	1972	7519	7520
7523	m	1946	8174	8175
7524	f	1947	6328	6329
7525	m	1948	4390	4391
7526	f	1951	6328	6329
7527	m	1953	6328	6329
7528	f	1954	3243	3244
7529	m	1950	5573	5574
7530	f	1951	2403	2402
7531	m	1920	5585	5586
7532	f	1923	.	.
7533	m	1922	5585	5586
7534	f	1925	.	.
7535	m	1924	5585	5586
7536	f	1932	.	.
7537	m	1926	5585	5586
7538	f	1929	.	.
7539	m	1928	5585	5586
7540	f	1930	.	.
7541	m	1880	744	745
7542	f	1880	11073	11074
7543	m	1906	8545	8546
7544	f	1901	1937	1936
7545	m	1935	7543	7544
7546	f	1936	5025	5026
7547	m	1931	.	.
7548	f	1938	5025	5026
7549	m	1908	10208	10209
7550	f	1911	.	.
7551	m	1939	5025	5026
7552	f	1941	7549	7550
7553	m	1941	2201	2202
7554	f	1940	2754	2755
7555	m	1942	2201	2202
7556	f	1944	.	.
7557	m	1923	.	.
7558	f	1926	.	.
7559	m	1947	7557	7558
7560	f	1947	2201	2202
7561	m	1948	7557	7558
7562	f	1948	2201	2202
7563	m	1913	8041	8042
7564	f	1922	.	.
7565	m	1943	7563	7564
7566	f	1945	3982	3983
7567	m	1919	3653	3654
7568	f	1925	2675	2676
7569	m	1956	4501	4502
7570	f	1958	7567	7568
7571	m	1914	2158	2159
7572	f	1917	.	.
7573	m	1948	7571	7572
7574	f	1951	5480	5481
7575	m	1851	148	676
7576	f	1856	460	461
7577	m	1920	.	.
7578	f	1921	2172	2173
7579	m	1941	4449	4450
7580	f	1945	.	.
7581	m	1942	4449	4450
7582	f	1947	.	.
7583	m	1942	2725	2726
7584	f	1945	4449	4450
7585	m	1920	3009	3010
7586	f	1926	.	.
7587	m	1907	.	.
7588	f	1906	2605	2606
7589	m	1929	3009	3010
7590	f	1934	7587	7588
7591	m	1916	4154	4155
7592	f	1917	1405	1404
7593	m	1918	4154	4155
7594	f	1919	4130	4131
7595	m	1911	2595	2596
7596	f	1920	4154	4155
7597	m	1922	4154	4155
7598	f	1922	2235	2236
7599	m	1925	4154	4155
7600	f	1922	.	.
7601	m	1922	.	.
7602	f	1927	4154	4155
7603	m	1927	.	.
7604	f	1932	4154	4155
7605	m	1935	4154	4155
7606	f	1935	.	.
7607	m	1937	4154	4155
7608	f	1937	3938	3939
7609	m	1901	4150	4151
7610	f	1910	5816	1867
7611	m	1871	839	1733
7612	f	1869	1235	1234
7613	m	1919	3111	3112
7614	f	1926	2367	2366
7615	m	1944	2360	2361
7616	f	1946	.	.
7617	m	1945	2360	2361
7618	f	1947	.	.
7619	m	1947	2360	2361
7620	f	1949	.	.
7621	m	1951	2360	2361
7622	f	1952	.	.
7623	m	1934	2373	2374
7624	f	1936	6618	6619
7625	m	1917	2221	2222
7626	f	1939	7222	7223
7627	m	1909	.	.
7628	f	1913	2579	2580
7629	m	1929	2221	2222
7630	f	1934	7627	7628
7631	m	1931	2375	2376
7632	f	1937	.	.
7633	m	1924	2379	2380
7634	f	1924	.	.
7635	m	1953	6572	6573
7637	m	1955	6572	6573
7638	f	1958	.	.
7639	m	1956	6572	6573
7640	f	1958	7647	7648
7641	m	1957	6572	6573
7642	f	1961	6110	6111
7643	m	1933	5007	5008
7644	f	1935	3077	3078
7645	m	1960	7643	7644
7646	f	1960	6572	6573
7647	m	1935	.	.
7648	f	1939	.	.
7649	m	1960	7647	7648
7650	f	1962	6572	6573
7651	m	1924	4670	4671
7652	f	1923	.	.
7653	m	1958	.	.
7654	f	1958	5595	5596
7655	m	1960	5595	5596
7656	f	1963	.	.
7657	m	1938	5593	5594
7658	f	1942	.	.
7659	m	1914	7748	7749
7660	f	1917	2231	2232
7661	m	1941	7659	7660
7662	f	1941	5593	5594
7663	m	1916	2291	2292
7664	f	1918	8505	8506
7665	m	1961	7663	7664
7666	f	1963	7661	7662
7667	m	1944	2048	2047
7668	f	1947	10902	10903
7669	m	1968	7667	7668
7670	f	1968	7661	7662
7671	m	1942	1974	1975
7672	f	1943	5593	5594
7673	m	1946	5593	5594
7674	f	1947	3428	3429
7675	m	1947	5532	5533
7676	f	1949	5593	5594
7677	m	1929	1841	1842
7678	f	1937	.	.
7679	m	1961	7677	7678
7680	f	1967	7166	7167
7681	m	1968	7166	7167
7682	f	1969	4356	4357
7683	f	1883	1734	1735
7684	m	1883	1163	1162
7685	f	1885	1734	1735
7686	m	1887	1145	1144
7687	f	1888	1734	1735
7688	m	1918	5322	5323
7689	f	1921	7686	7687
7690	m	1949	7688	7689
7691	f	1945	.	.
7692	m	1949	3972	3973
7693	f	1951	7688	7689
7694	m	1958	4318	4319
7695	f	1959	.	.
7696	m	1933	.	.
7697	f	1936	.	.
7698	m	1959	4318	4319
7699	f	1963	7696	7697
7700	m	1928	7208	7209
7701	f	1930	4316	4317
7702	m	1955	6620	6621
7703	f	1958	7700	7701
7704	m	1941	8450	8451
7705	f	1941	5368	5369
7706	m	1964	7704	7705
7707	f	1966	7700	7701
7708	m	1788	12485	12486
7709	f	1789	10776	10777
7710	m	1892	1001	1002
7711	f	1892	1756	1757
7712	m	1918	3803	3804
7713	f	1928	7710	7711
7714	m	1950	7712	7713
7715	f	1953	3312	3313
7716	m	1932	7710	7711
7717	f	1937	2621	2622
7718	m	1857	823	824
7719	f	1857	9880	9881
7720	m	1884	1357	1356
7721	f	1887	.	.
7722	m	1912	7720	7721
7723	f	1916	10242	10243
7724	m	1886	568	569
7725	f	1887	1357	1356
7726	m	1890	1357	1356
7727	f	1890	1524	1525
7728	m	1881	2309	2310
7729	f	1884	843	842
7730	m	1910	7728	7729
7731	f	1914	7726	7727
7732	m	1938	.	.
7733	f	1941	7730	7731
7734	m	1947	7730	7731
7735	f	1944	.	.
7736	m	1949	.	.
7737	f	1951	7730	7731
7738	m	1921	8079	8080
7739	f	1922	7726	7727
7740	m	1861	823	824
7741	f	1865	1493	1492
7742	m	1886	7740	7741
7743	f	1886	.	.
7744	m	1914	7742	7743
7745	f	1917	.	.
7746	m	1945	7744	7745
7748	m	1888	7740	7741
7749	f	1891	.	.
7750	m	1909	.	.
7751	f	1912	7748	7749
7752	m	1942	5560	5561
7753	f	1948	7659	7660
7754	m	1958	7659	7660
7755	f	1961	.	.
7756	m	1913	2188	2189
7757	f	1917	7748	7749
7758	m	1946	7756	7757
7759	f	1947	6624	6625
7760	m	1929	.	.
7761	f	1926	.	.
7762	m	1959	7760	7761
7763	f	1961	3926	3927
7764	m	1890	7740	7741
7765	f	1896	10011	10012
7766	m	1929	7764	7765
7767	f	1932	.	.
7769	f	1951	7766	7767
7770	m	1890	11504	11505
7771	f	1892	7740	7741
7772	m	1890	1163	1162
7773	f	1894	3109	3110
7774	m	1924	7770	7771
7775	f	1926	7772	7773
7776	m	1956	7774	7775
7777	f	1955	7431	7432
7778	m	1962	7774	7775
7779	f	1965	7431	7432
7780	m	1897	1863	1864
7781	f	1899	1688	1689
7782	m	1928	7770	7771
7783	f	1932	7780	7781
7784	m	1941	2569	2570
7785	f	1941	.	.
7786	m	1968	7784	7785
7787	f	1971	6864	6865
7788	m	1968	3579	3580
7789	f	1970	8381	8382
7790	m	1930	.	.
7791	f	1932	7182	7183
7792	m	1957	3257	3258
7793	f	1958	7790	7791
7794	m	1960	3257	3258
7795	f	1965	4042	4043
7796	m	1958	3827	3828
7797	f	1962	3257	3258
7798	m	1962	3442	3443
7799	f	1966	5231	5232
7800	m	1937	2569	2570
7801	f	1939	5824	5825
7802	m	1957	7304	7305
7803	f	1961	7800	7801
7804	m	1961	3857	3858
7805	f	1966	7800	7801
7806	m	1961	7475	7476
7807	f	1963	7304	7305
7808	m	1868	823	824
7809	f	1867	9880	9881
7810	m	1903	1625	1624
7811	f	1904	9385	9386
7812	m	1936	6475	6476
7813	f	1938	7810	7811
7814	m	1942	6475	6476
7815	f	1945	.	.
7816	m	1912	2231	2232
7817	f	1913	825	826
7818	m	1931	3462	3463
7819	f	1933	7816	7817
7820	m	1914	3113	3114
7821	f	1914	.	.
7823	f	1881	1276	1275
7824	m	1913	1363	7823
7825	f	1915	825	826
7826	m	1898	3851	3852
7827	f	1908	6967	6968
7828	m	1898	1868	1867
7829	f	1898	10520	10521
7830	m	1930	7826	7827
7831	f	1932	7828	7829
7832	m	1904	.	.
7833	f	1908	.	.
7834	m	1931	7832	7833
7835	f	1932	7826	7827
7836	m	1964	6410	6411
7837	f	1964	7834	7835
7838	m	1906	3099	3100
7839	f	1911	6967	6968
7840	m	1918	6967	6968
7841	f	1918	9505	9506
7842	m	1910	2184	2185
7843	f	1916	.	.
7844	m	1950	4485	4486
7845	f	1952	2767	2768
7846	m	1925	8744	8745
7847	f	1933	2765	2766
7848	m	1934	6618	6619
7849	f	1935	2765	2766
7850	m	1963	5049	5050
7851	f	1966	7848	7849
7852	m	1938	5041	5042
7853	f	1940	4034	4035
7854	m	1968	7852	7853
7855	f	1972	7848	7849
7856	m	1964	2979	2980
7857	f	1965	7852	7853
7858	m	1969	7852	7853
7859	f	1968	.	.
7860	m	1941	2765	2766
7861	f	1943	2915	2916
7862	m	1970	4895	4896
7863	f	1976	7860	7861
7864	m	1968	7860	7861
7865	f	1968	8349	8350
7866	m	1915	.	.
7867	f	1923	3117	3118
7868	m	1925	3117	3118
7869	f	1921	3175	3176
7870	m	1912	.	.
7871	f	1912	2454	2455
7872	m	1932	3117	3118
7873	f	1935	7870	7871
7874	f	1935	.	.
7875	m	1935	3117	3118
7876	f	1933	.	.
7877	f	1949	.	.
7878	m	1963	6126	6127
7879	f	1962	3643	3644
7880	m	1940	1841	1842
7881	f	1941	.	.
7882	m	1964	7880	7881
7883	f	1966	3643	3644
7884	m	1975	4565	4566
7885	f	1975	3643	3644
7886	m	1975	3452	3453
7887	f	1975	3643	3644
7888	m	1957	5153	5154
7889	f	1961	3318	3319
7890	m	1963	3318	3319
7891	f	1965	4495	4496
7892	m	1942	4603	4604
7893	f	1944	2905	2906
7894	m	1966	3318	3319
7895	f	1966	7892	7893
7896	m	1968	5221	5222
7897	f	1969	6410	6411
7898	m	1968	7214	7215
7899	f	1971	6410	6411
7900	m	1937	7182	7183
7901	f	1936	5544	5545
7902	m	1973	7900	7901
7903	f	1974	6410	6411
7904	m	1927	2339	2340
7905	f	1935	3687	3688
7906	m	1956	7904	7905
7907	f	1956	.	.
7908	m	1964	7904	7905
7909	f	1964	.	.
7910	m	1967	7904	7905
7911	f	1966	8482	8483
7912	m	1963	3771	3772
7913	f	1969	7904	7905
7914	m	1942	3316	3317
7915	f	1942	5041	5042
7916	m	1943	5368	5369
7917	f	1944	3316	3317
7918	m	1932	4132	4133
7919	f	1935	.	.
7920	m	1954	3316	3317
7921	f	1958	7918	7919
7922	m	1974	4921	4922
7923	f	1976	7920	7921
7924	m	1915	.	.
7925	f	1925	7710	7711
7926	m	1946	.	.
7927	f	1951	7712	7713
7928	m	1954	7712	7713
7929	f	1957	.	.
7930	m	1942	6580	12200
7931	f	1944	3368	3369
7932	m	1914	.	.
7933	f	1916	.	.
7934	m	1908	.	.
7935	f	1920	.	.
7936	m	1947	7934	7935
7937	f	1952	3368	3369
7938	m	1885	11075	11076
7939	f	1888	1269	1268
7940	m	1913	1186	1187
7941	f	1914	7938	7939
7942	m	1937	6650	6651
7943	f	1937	7940	7941
7944	m	1909	.	.
7945	f	1915	.	.
7946	m	1939	7944	7945
7947	f	1939	7940	7941
7948	m	1941	7940	7941
7949	f	1941	.	.
7950	m	1943	7940	7941
7951	f	1942	.	.
7952	m	1951	5738	5739
7953	f	1951	.	.
7954	m	1878	1589	1588
7955	f	1875	.	.
7956	m	1915	7954	7955
7957	f	1914	1188	1189
7958	m	1911	3713	3714
7959	f	1915	1188	1189
7960	m	1918	1192	1193
7961	f	1925	2352	2353
7962	m	1969	3689	3690
7963	f	1969	7200	7201
7964	m	1907	.	.
7965	f	1908	2454	2455
7966	m	1940	2266	2267
7967	f	1943	7964	7965
7968	m	1963	4340	4341
7969	f	1962	4214	4215
7970	m	1927	2700	2701
7971	f	1927	3833	3834
7972	m	1964	7970	7971
7973	f	1963	4214	4215
7974	m	1945	4889	4890
7975	f	1947	.	.
7976	m	1966	4340	4341
7977	f	1973	7974	7975
7978	m	1947	11380	11381
7979	f	1949	.	.
7980	m	1966	7978	7979
7981	f	1966	7136	7137
7982	m	1907	3948	3949
7983	m	1900	1343	1342
7984	f	1898	1508	1509
7985	m	1919	7772	7773
7986	f	1929	7983	7984
7987	m	1958	7985	7986
7988	f	1963	.	.
7989	m	1942	8029	8032
7990	f	1949	2178	2179
7991	m	1961	7985	7986
7992	f	1961	3691	3692
7993	m	1963	4495	4496
7994	f	1964	7985	7986
7995	m	1938	5756	5757
7996	f	1941	8056	8057
7997	m	1945	5756	5757
7998	f	1945	.	.
7999	m	1959	6620	6621
8000	f	1960	5794	5795
8001	m	1906	1580	1581
8002	f	1912	3460	3461
8003	m	1921	1629	1628
8004	f	1926	3454	3455
8005	m	1941	5631	5632
8006	f	1944	.	.
8007	m	1912	3416	3417
8008	f	1913	1405	1404
8009	m	1947	8007	8008
8010	f	1947	.	.
8011	m	1936	8007	8008
8012	f	1937	4753	4754
8013	m	1866	3089	3090
8014	f	1873	.	.
8015	m	1913	8013	8014
8016	f	1917	8930	8931
8017	m	1898	8013	8014
8018	f	1905	.	.
8019	m	1935	8017	8018
8020	f	1938	7228	7229
8021	m	1945	8416	8417
8022	f	1945	.	.
8023	m	1972	8021	8022
8024	f	1973	3683	3684
8025	m	1937	8015	8016
8026	f	1937	.	.
8027	m	1951	8007	8008
8028	f	1954	.	.
8029	m	1913	4047	4048
8030	f	1914	1599	8304
8032	f	1917	2601	2602
8033	m	1944	8029	8032
8034	f	1946	.	.
8035	m	1889	857	858
8036	f	1888	2468	2469
8037	m	1919	8035	8036
8038	f	1924	9505	9506
8039	m	1945	8029	8032
8040	f	1945	.	.
8041	m	1882	3087	3088
8042	f	1892	1015	1016
8043	m	1884	969	970
8044	f	1889	1241	1242
8045	f	1882	8046	8047
8046	m	1857	3105	3106
8047	f	1845	11893	11894
8048	m	1908	3093	3094
8049	f	1916	1214	1210
8050	m	1894	1080	1081
8051	f	1895	11764	11765
8052	m	1928	8050	8051
8053	f	1929	5301	5302
8054	m	1908	7128	7129
8055	f	1916	551	552
8056	m	1909	.	.
8057	f	1908	.	.
8058	m	1913	.	.
8059	f	1917	11311	11312
8060	m	1884	6521	6522
8061	f	1890	.	.
8062	m	1884	1156	1157
8063	f	1886	.	.
8064	f	1891	.	.
8065	m	1952	6298	6299
8066	f	1952	.	.
8067	m	1957	6298	6299
8068	f	1960	4493	4494
8069	m	1885	754	755
8070	f	1880	869	870
8071	m	1909	8069	8070
8072	f	1911	7078	7079
8073	m	1871	12390	12391
8074	f	1878	1236	1237
8075	m	1889	1038	1037
8076	f	1890	.	.
8077	m	1852	.	.
8078	f	1864	278	279
8079	m	1892	8077	8078
8080	f	1894	2468	2469
8081	m	1916	4525	4526
8082	f	1917	5027	5028
8083	m	1943	8081	8082
8084	f	1946	.	.
8085	m	1903	4008	4009
8086	f	1907	1781	1782
8087	m	1932	8085	8086
8088	f	1934	.	.
8089	m	1918	3213	3214
8090	f	1925	.	.
8091	m	1932	.	.
8092	f	1936	.	.
8093	m	1892	1369	1368
8094	f	1899	.	.
8095	m	1884	2350	2351
8096	f	1900	.	.
8097	m	1883	1369	1368
8098	m	1890	8046	8047
8099	f	1895	1937	1936
8100	m	1895	3483	3484
8101	f	1895	.	.
8102	m	1949	7021	7022
8103	f	1953	.	.
8104	m	1884	8046	8047
8105	f	1885	969	970
8106	m	1873	1400	1399
8107	f	1876	.	.
8108	m	1932	4260	4261
8109	f	1933	3155	3156
8110	m	1927	4684	4685
8111	f	1933	4607	4608
8112	m	1951	3051	3052
8113	f	1955	8110	8111
8114	m	1955	3783	3784
8115	f	1957	.	.
8116	m	1956	3783	3784
8117	f	1957	8164	8165
8118	m	1950	3051	3052
8119	f	1953	.	.
8120	m	1917	4152	4153
8121	f	1923	.	.
8122	m	1943	2561	2562
8123	f	1944	8054	8055
8124	m	1892	1847	1848
8125	f	1905	2225	2226
8126	m	1950	8124	8125
8127	f	1952	6425	6426
8128	m	1925	5201	5202
8129	f	1928	11508	11509
8130	m	1943	8124	8125
8131	f	1942	.	.
8132	m	1937	4118	4119
8133	f	1941	.	.
8134	m	1953	2905	2906
8135	f	1955	.	.
8136	m	1937	2905	2906
8137	f	1940	2280	2281
8138	m	1938	3956	3957
8139	f	1938	7055	7056
8140	m	1875	4166	4167
8141	f	1883	1264	1263
8142	m	1881	4166	4167
8143	f	1884	1846	1845
8144	m	1884	4166	4167
8145	f	1889	.	.
8146	m	1921	2182	2183
8147	f	1925	.	.
8148	m	1937	2339	2340
8149	f	1938	.	.
8150	m	1931	3115	3116
8151	f	1932	.	.
8153	f	1905	1818	1819
8154	m	1939	4122	4123
8155	f	1940	2639	2640
8156	m	1947	3059	3060
8157	f	1949	7220	7221
8158	m	1861	660	661
8159	f	1859	1026	1027
8160	m	1953	4603	4604
8161	f	1955	4034	4035
8162	m	1953	3209	3210
8163	f	1955	.	.
8164	m	1930	3767	3768
8165	f	1930	8124	8125
8166	m	1951	3059	3060
8167	f	1953	8164	8165
8168	m	1945	3059	3060
8169	f	1951	.	.
8170	m	1899	1891	1892
8171	f	1889	1570	1571
8172	m	1949	3059	3060
8173	f	1951	9120	9121
8174	m	1919	4010	4011
8175	f	1925	9414	9415
8176	m	1954	8174	8175
8177	f	1956	7790	7791
8178	m	1895	8158	8159
8179	f	1900	.	.
8180	m	1948	2798	2799
8181	f	1949	6265	6266
8182	m	1898	765	764
8183	f	1902	.	.
8184	m	1938	2561	2562
8185	f	1941	.	.
8186	m	1925	2700	2701
8187	f	1927	4670	4671
8188	m	1933	.	.
8189	f	1936	7222	7223
8190	m	1929	.	.
8191	m	1898	11417	11418
8192	f	1903	920	921
8193	m	1890	959	960
8194	f	1891	924	925
8195	m	1893	924	925
8196	f	1896	1919	1918
8197	m	1919	9505	9506
8198	f	1922	8195	8196
8199	m	1897	924	925
8200	f	1904	.	.
8201	m	1935	8472	8473
8202	f	1939	.	.
8203	m	1945	4857	4858
8204	f	1946	3372	3373
8205	m	1915	8315	8316
8206	f	1925	2233	2234
8207	m	1899	926	927
8208	f	1900	11417	11418
8209	m	1928	8207	8208
8210	f	1933	8456	8457
8211	m	1925	10005	10006
8212	f	1931	8207	8208
8213	m	1940	8207	8208
8214	f	1942	4208	4209
8215	m	1928	3155	3156
8216	m	1902	926	927
8217	f	1905	996	995
8218	m	1930	1174	1173
8219	f	1931	4378	4379
8220	m	1935	4378	4379
8221	f	1939	2937	2938
8222	m	1937	4378	4379
8223	f	1940	2702	2703
8224	m	1888	935	934
8225	f	1892	1497	1496
8226	m	1919	5291	5292
8227	f	1920	4829	4830
8228	m	1927	4829	4830
8229	f	1924	2314	2315
8230	m	1924	.	.
8231	f	1925	6513	6514
8232	m	1930	6513	6514
8233	f	1930	.	.
8234	m	1908	935	934
8235	f	1909	11197	11198
8236	m	1800	.	.
8237	f	1803	.	.
8238	m	1830	8236	8237
8239	f	1830	.	.
8240	m	1895	.	.
8241	f	1898	.	.
8242	m	1928	8240	8241
8243	f	1928	5472	5473
8244	m	1937	7816	7817
8245	f	1930	5472	5473
8246	m	1933	5472	5473
8247	f	1931	2314	2315
8248	m	1941	8048	8049
8249	f	1940	7469	7470
8250	m	1920	.	.
8251	f	1923	.	.
8252	m	1950	8250	8251
8253	f	1950	8048	8049
8254	f	1918	1214	1210
8255	m	1946	5842	8254
8256	f	1946	7633	7634
8257	m	1878	1212	1213
8258	f	1879	1015	1016
8259	f	1888	2153	2152
8262	m	1954	3827	3828
8263	f	1955	6443	6444
8264	m	1935	2846	2847
8265	f	1940	.	.
8266	m	1960	8264	8265
8267	f	1961	8220	8221
8268	m	1938	3895	3896
8269	f	1939	.	.
8270	m	1942	3895	3896
8271	f	1946	.	.
8272	m	1946	7174	7175
8273	f	1947	3895	3896
8274	m	1942	3938	3939
8275	f	1942	.	.
8276	m	1912	2723	2724
8277	f	1915	3366	3367
8278	m	1926	12053	12054
8279	f	1928	4140	4141
8280	m	1954	8278	8279
8281	f	1956	2723	2724
8282	m	1889	2153	2152
8283	f	1891	4006	4007
8284	m	1893	.	.
8285	f	1894	4006	4007
8286	m	1917	2045	2046
8287	f	1920	8284	8285
8288	m	1949	8286	8287
8289	f	1947	6998	6999
8290	m	1954	8286	8287
8291	f	1957	7875	7876
8292	m	1979	4617	4618
8293	f	1979	8009	8010
8294	m	1973	3829	3830
8295	f	1973	4577	4578
8296	m	1929	3655	3656
8297	f	1931	.	.
8298	m	1946	3827	3828
8299	f	1957	.	.
8300	m	1889	1765	1764
8301	f	1895	1127	1126
8302	m	1945	3827	3828
8303	f	1947	7138	7139
8304	f	1877	3097	3098
8305	m	1890	1599	1598
8306	f	1890	280	281
8307	m	1920	3127	3128
8308	f	1925	8041	8042
8309	m	1852	3095	3096
8310	f	1848	.	.
8311	m	1796	10168	10169
8312	f	1791	.	.
8313	m	1825	8311	8312
8314	f	1830	.	.
8315	m	1881	3097	3098
8316	f	1877	1846	1845
8317	m	1870	.	.
8318	f	1874	1700	1699
8319	m	1942	2296	2295
8320	f	1941	8029	8032
8321	m	1921	6084	6085
8322	f	1915	10518	10519
8323	m	1952	3035	3036
8324	f	1953	4390	4391
8325	m	1934	3505	3506
8326	f	1936	2626	2625
8327	m	1929	7072	7073
8328	f	1930	3213	3214
8329	m	1930	3976	3977
8330	f	1934	.	.
8331	m	1947	5352	5353
8332	f	1945	.	.
8333	m	1950	5352	5353
8334	f	1951	.	.
8335	m	1906	1025	1024
8336	f	1909	1929	1930
8337	m	1912	1227	1228
8338	f	1920	6084	6085
8339	m	1939	2915	2916
8340	f	1942	5368	5369
8341	m	1927	7515	7516
8342	f	1932	5653	5654
8343	m	1927	2250	2251
8344	f	1929	5344	5345
8345	m	1932	7072	7073
8346	f	1935	4183	2353
8347	m	1922	2702	2703
8348	f	1925	8095	8096
8349	m	1927	.	.
8350	f	1925	.	.
8351	m	1965	4266	4267
8352	f	1964	8349	8350
8353	m	1963	6772	6773
8354	f	1966	.	.
8355	m	1929	2270	2271
8356	f	1931	.	.
8357	m	1953	5993	5994
8358	f	1953	2812	2813
8359	m	1946	9578	9579
